"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*04qry*","Grayson Allen","PHO","PG,SG,G,SF,F","116","VICE","73.48","81%","-1%","29.8","13.5",".407","3.3","9.3","3.4",".859","17.2","3.0","4.1","1.4","0.3","1.6"
"*06v57*","Ace Bailey","UTA","PG,SG,G,SF,F","117","MCL","73.46","88%","0%","26.9","11.6",".444","1.9","5.3","1.1",".757","13.0","4.1","1.8","0.9","0.6","1.4"
"*0621y*","Max Christie","DAL","SG,G,SF,F","118","FA","73.41","55%","-2%","29.4","9.6",".450","2.4","5.8","1.7",".887","12.6","3.3","2.0","0.6","0.3","1.3"
"*06226*","Moussa Diabate","CHA","C","119","KEILA","73.29","81%","-2%","26.0","5.1",".622","0.0","0.0","2.4",".669","8.0","8.7","1.9","0.7","1.0","1.0"
"*051p9*","Keldon Johnson","SA","SG,G,SF,F","120","KEILA","73.25","62%","-1%","23.2","9.3",".533","1.2","3.1","2.2",".787","12.8","5.4","1.3","0.6","0.1","0.9"
"*05uuq*","Jock Landale","ATL","C","121","FA","72.59","36%","-2%","22.0","8.1",".512","1.1","2.8","1.9",".639","10.5","5.6","1.7","0.5","0.5","0.9"
"*0621u*","Andrew Nembhard","IND","PG,SG,G","122","KEILA","72.51","97%","0%","31.1","13.4",".444","1.9","5.2","4.2",".815","17.2","2.8","7.2","0.9","0.1","2.4"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C","123","Pingud","72.5","100%","0%","28.9","16.6",".624","0.4","1.3","9.9",".650","27.6","9.8","5.4","0.9","0.7","3.2"
"*027p4*","Tobias Harris","DET","PF,F","124","PH","71.99","87%","0%","28.1","10.5",".459","1.2","3.6","2.5",".880","13.1","5.2","2.4","0.9","0.4","1.0"
"*04ex8*","Dillon Brooks","PHO","SG,G,SF,PF,F","125","FA","71.88","66%","0%","30.6","17.4",".440","2.3","6.8","3.8",".856","20.9","3.7","1.8","1.0","0.2","1.8"
"*051pa*","Kevin Porter","MIL","PG,SG,G","126","VICE","71.88","97%","0%","33.2","13.5",".465","1.2","3.8","4.1",".878","17.4","5.2","7.4","2.2","0.5","2.9"
"*05qtm*","Precious Achiuwa","SAC","PF,F,C","127","JOH","71.84","72%","+1%","23.1","7.5",".529","0.4","1.3","1.7",".575","9.3","6.5","1.3","0.9","0.7","0.8"
"*06cc1*","Bilal Coulibaly","WAS","SG,G,SF,PF,F","128","TOR","71.69","79%","+3%","26.8","9.2",".419","1.2","3.7","3.1",".753","11.3","4.4","2.7","1.4","1.0","1.5"
"*0621e*","Mark Williams","PHO","C","129","FA","71.62","81%","-3%","23.6","7.4",".633","0.0","0.0","2.9",".767","11.6","8.1","1.0","0.9","0.9","1.1"
"*06cbz*","Brice Sensabaugh","UTA","SF,PF,F","130","VICE","71.54","73%","+3%","22.7","10.9",".453","2.0","5.7","2.5",".829","13.9","3.0","1.7","0.7","0.1","1.4"
"*051oj*","RJ Barrett","TOR","SG,G,SF,PF,F","131","€$¥","71.5","99%","0%","30.1","14.0",".496","1.7","5.0","4.7",".710","18.9","5.4","3.2","0.8","0.3","1.7"
"*06216*","Shaedon Sharpe","POR","SG,G,SF,F","132","FA","71.08","83%","-1%","30.0","17.6",".456","2.1","6.2","4.0",".784","21.4","4.4","2.6","1.4","0.1","3.0"
"*042n2*","Kris Dunn","LAC","PG,SG,G","133","FA","70.54","48%","-1%","27.6","6.1",".480","1.0","2.7","1.1",".773","7.7","3.3","3.6","1.6","0.2","1.4"
"*03al1*","Marcus Smart","LAL","PG,SG,G","134","FA","70.45","39%","0%","28.7","7.7",".399","1.6","4.8","2.1",".816","9.5","2.8","2.8","1.4","0.4","1.4"
"*02nf7*","Harrison Barnes","SA","SF,PF,F","135","FA","70.35","33%","0%","26.4","7.8",".449","1.8","4.8","1.7",".844","10.2","2.9","2.0","0.7","0.2","0.9"
"*05uj4*","Santi Aldama","MEM","PF,F,C","136","FA","70.32","81%","-7%","27.9","11.1",".479","1.6","4.7","2.7",".667","14.0","6.7","2.9","0.9","0.7","1.3"
"*06mk6*","Carlton Carrington","WAS","PG,G","137","FA","70.23","72%","+3%","27.7","8.7",".416","1.9","5.0","1.4",".717","10.2","3.6","4.5","0.6","0.2","2.3"
"*06v5v*","Cedric Coward","MEM","SG,G,SF,F","138","MCL","70.16","72%","-1%","26.0","10.4",".464","1.5","4.4","2.6",".846","13.4","6.2","2.8","0.6","0.4","1.8"
"*03al2*","Joel Embiid","PHI","C","139","PH","70","98%","0%","31.2","18.2",".495","1.3","4.0","8.5",".858","26.6","7.5","3.9","0.6","1.1","3.0"
"*05ux3*","Jordan Goodwin","PHO","PG,SG,G","140","FA","69.74","31%","+5%","22.4","8.1",".408","1.5","4.3","0.8",".706","8.7","4.8","2.2","1.5","0.2","1.0"
"*027pe*","Jimmy Butler","GS","SF,PF,F","141","FA","69.74","66%","0%","31.1","12.2",".519","0.8","2.2","7.6",".864","20.0","5.6","4.9","1.4","0.2","1.6"
"*06mka*","Tristan da Silva","ORL","SF,PF,F","142","Ewings","69.4","63%","-1%","24.3","8.0",".445","1.6","4.2","1.0",".889","9.5","3.7","1.4","0.9","0.4","0.8"
